rep,index,scene,n_c,solver,iterations,converged,residual,seconds,normal_gap_m,outside_coulomb_fraction,tangential_relative_deviation_from_exact,solution_sha256
2,7,random_contact_graph_256,256,admm,281,True,9.019551425182293e-11,0.13649273908231407,0.0016887357565364804,0.0,0.0,d7f603f6ec43dc311f41970423fa7f1962ecb702b93445f03ae06f0e13cc94cc
2,8,granular_press_step,441,apgd,5000,False,9.343661488622756e-09,1.0192030559992418,0.012911506280490924,0.0,0.9325574286019834,c08088d56cb87f307d600cc574fb4113761b8b5e3699a9fefc4faec0a4ffcc5d
2,8,granular_press_step,441,pgs,400,False,1.4743109398890342e-05,10.95934183592908,0.012910504424716529,0.0,0.9252566357493389,8148f5f3f37e818c4d1c867b3d3651587043f46b3aa3c92eab4620f0424315fe
2,8,granular_press_step,441,admm,1672,True,9.982629306515278e-11,0.7346217699814588,0.013204014972776486,0.0,0.0,7c971c73a21bc7d29135a47e904cfe456c068199aea5324764ca7b77e44f6b0d
2,9,sphere_packing_50,176,apgd,3895,True,9.950401516200386e-11,0.5128099150024354,0.0058443532644211855,0.0,0.38438611201897,be5c46db5e1c430664ac3a33c14be4d484a4aa79902a9e253fa074015c4acc7b
2,9,sphere_packing_50,176,pgs,913,True,9.886788436552774e-11,10.637126846937463,0.0058443532658176275,0.0,0.38438436327141406,a7c963c9f77d3ca159c20fdb9d82e767068ea281c6a05bf88be329597ccbe895
2,9,sphere_packing_50,176,admm,1180,True,9.947796101723421e-11,0.27453977905679494,0.005844240580805913,0.0,0.0,c1c210a96d37581fc70b3ff69abe345ffcdafc41ab29070868ee724d1988288b
2,10,sphere_packing_200,710,apgd,5000,False,3.0115382128152735e-10,1.4135575449327007,0.005998695166715773,0.0,0.7010258919482019,67cc19b76bd5014ffba5ed656a4ac65db247feeb082ac65707ce6ee8c489fea8
2,10,sphere_packing_200,710,pgs,250,False,1.3474545710674864e-06,11.698468543938361,0.00599877002925442,0.0,0.7025502082939441,ca1df93d8a80d0f6df3fbac5f6ba871b46972aaffa55b9732e06e7e8e0206435
2,10,sphere_packing_200,710,admm,1398,True,9.938339279140507e-11,1.2707293179119006,0.006096702173731052,0.0,0.0,664d2b35729bef3cff716047b29b13fef2799aee3cc017bff310ee55167cc7c3
2,11,sphere_packing_800,3022,apgd,5000,False,9.46212492039522e-10,4.758472769986838,0.005989463739421061,0.0,0.19038528107012315,d002d876120f4bfdbc6a437064ffed980bfd8f83122d096145ce79d36ef6f6cd
2,11,sphere_packing_800,3022,pgs,60,False,3.31565571060591e-05,12.023531481972896,0.005989166080017915,0.0,0.47102756995027256,1f0e79a0704d706262e3b7895ed6eec1c9ef1a33a60d8d5c0b2f77518c954d18
2,11,sphere_packing_800,3022,admm,1499,True,9.985446237231743e-11,11.032077432028018,0.005989526298230912,0.0,0.0,d3ce81a5d1c0ae5caacd9b5c8fdd72c5b000033d5f3eb67754f046c393737ada
2,12,dense_random_contact_operator_256,256,apgd,1221,True,9.77515152156272e-11,0.9945534670259804,1.3509724797189371e-10,0.0,2.876656713837487,ae71b9ec1d805f42f44ba2cf914199038f2962a49aea8e11136e68547602ccb5
2,12,dense_random_contact_operator_256,256,pgs,550,False,6.7158800005628905e-06,10.98959892091807,4.0585041714802374e-05,0.0,2.3519226909092326,a2cc737b836b7119ad7bb69ec6a3e665f97cc4eed9bb8305fa354156a19ebaec
2,12,dense_random_contact_operator_256,256,admm,1105,True,9.991044970514285e-11,1.3895895279711112,0.023702844425986188,0.0,0.0,a6fadcca099ce3668bff1c83b2c197a3f82b0fbf570b790c15b3ff7366c745df
2,13,heavy_top_column_tangential_drive,3,apgd,5000,False,0.07635563843200543,0.4342339129652828,0.0008333580174100537,0.0,0.20011375217098737,16f34fd0bb5c7c2d7872fadc3b281c6880ca4d308b65f5d5b259d1a9e093e3a3
2,13,heavy_top_column_tangential_drive,3,pgs,5000,False,0.008146335342189559,1.416535394033417,0.0008333333333335228,0.0,0.1918455102949695,9186f0065e6abbd32df2787d7f6eee3e7048b1a7c5eecacd5dad4857e95e9556
