run,it,state,cost_sum,cost_p50,res_max,res_p95,grad_norm,H_sha256,digest,n_slip,res_pass,ms_forward,ms_adjoint,ms_total,chunk,n_calls,n_iter,cg,grad_cg,theta_sha256
series_std_int64_p0,1,accepted,217789.40796813037,1628.8767748215237,0.019828224636308067,0.00011930809757829138,9275.281305829914,f0db34d4d06e34425bc8114155f8b79b2aac537ff6eda9834de3963bd24618f7,bb51ab7c47e648b7467d7323ae0bb8f67f4d9ed556194cdd56d6c1f9a598a75a,-1,0,1110.4972520843148,1078.2495801104233,2228.4213710809126,1024,7,300,4,60,cd132ff4292921d736bc3b31abace3b63757607079afe3cbd4add8473ddd10a2
series_std_int64_p0,2,prev_theta,217789.40796813037,1628.8767748215237,0.019828224636308067,0.00011930809757829138,9275.281305829914,f0db34d4d06e34425bc8114155f8b79b2aac537ff6eda9834de3963bd24618f7,bb51ab7c47e648b7467d7323ae0bb8f67f4d9ed556194cdd56d6c1f9a598a75a,-1,0,1142.0973209897056,1109.5404799561948,2299.6564080240205,1024,7,300,4,60,cd132ff4292921d736bc3b31abace3b63757607079afe3cbd4add8473ddd10a2
series_std_int64_p0,2,accepted,214055.76447686527,1608.677865103679,0.02692868566719927,0.00012869167400367644,6112.531151750142,20a143879b87a3215a6c1bb7f36b599880be460bd7262356959af8d257156bdf,475b1179737b0cff54b01c90201118d5c9190e8534f6cc299028b7fc2b0a5794,-1,0,1132.0242800284177,1077.9432699782774,2258.382641011849,1024,7,300,4,60,f8f01f808993cae8e88f928fd934147a31bfd95382d6d7d9119d1d783fca5bbf
series_std_int64_p0,3,prev_theta,214055.76447686527,1608.677865103679,0.02692868566719927,0.00012869167400367644,6112.531151750142,20a143879b87a3215a6c1bb7f36b599880be460bd7262356959af8d257156bdf,475b1179737b0cff54b01c90201118d5c9190e8534f6cc299028b7fc2b0a5794,-1,0,1108.371064066887,1100.5348830949515,2244.7503770235926,1024,7,300,4,60,f8f01f808993cae8e88f928fd934147a31bfd95382d6d7d9119d1d783fca5bbf
series_std_int64_p0,3,accepted,213249.97615533782,1607.940554649675,0.020014471769410007,7.726730906832471e-06,2151.786841119131,2405a69a462f8fed97f02ec282580bd28654304439d472ba5ff9b988b877e6e5,3ca5b7024171d62b8cb74702c4f0d68262fecf82706e84e58fb26da617c537ec,-1,0,1121.962615987286,1066.5284401038662,2227.2506380686536,1024,7,300,4,60,4e746550280c46a29e2fe1f87b4cb166ced2924c2efa66d38f4a023e6ee72403
series_std_int64_p1,0,initial,477544.08483498334,2912.5321056738394,4.5140086113448774e-11,3.625339750623623e-11,9145.419118717055,5f82cebf719ada2a47d0a4f4f4f5b653c9913e956055754236dd615c90b9d7e3,eaac3cbb9f3ca157c2c9cdc0ad1fc2258ca8a1c4126c0e2ba8335d3e912e6f32,-1,1,1581.287864013575,1329.2835570173338,2974.3154960451648,1024,7,300,4,60,020bd156497d059e9ae53f0708d8e5877767869e618ec33a0173cb91f7319ce3
series_std_int64_p1,0,prev_theta,477544.08483498334,2912.5321056738394,4.5140086113448774e-11,3.625339750623623e-11,9145.419118717055,5f82cebf719ada2a47d0a4f4f4f5b653c9913e956055754236dd615c90b9d7e3,eaac3cbb9f3ca157c2c9cdc0ad1fc2258ca8a1c4126c0e2ba8335d3e912e6f32,-1,1,1127.918545040302,1078.7785040447488,2258.4119311068207,1024,7,300,4,60,020bd156497d059e9ae53f0708d8e5877767869e618ec33a0173cb91f7319ce3
series_std_int64_p1,0,accepted,277855.4104790555,1662.5902329644864,0.02784524756722012,0.00013957648790788844,13568.435790535324,790db881c8378a27a1a6a3fee83129f976f7c6992c501d6f5a5db23a9f92121e,2897f1e0bbf64e125f9a92abb50e81b9a2af098436246a24615a72b4e1d06220,-1,0,1123.5242310212925,1078.931281925179,2249.4355690432712,1024,7,300,4,60,530fc9a2b848ee853295e5ad7020b40ddfbb83b4922a4775dcb7c647e702f476
series_std_int64_p1,1,prev_theta,277855.4104790555,1662.5902329644864,0.02784524756722012,0.00013957648790788844,13568.435790535324,790db881c8378a27a1a6a3fee83129f976f7c6992c501d6f5a5db23a9f92121e,2897f1e0bbf64e125f9a92abb50e81b9a2af098436246a24615a72b4e1d06220,-1,0,1109.265162027441,1090.096677071415,2234.0396950021386,1024,7,300,4,60,530fc9a2b848ee853295e5ad7020b40ddfbb83b4922a4775dcb7c647e702f476
series_std_int64_p1,1,accepted,217789.40796813037,1628.8767748215237,0.019828224636308067,0.00011930809757829138,9275.281305829914,f0db34d4d06e34425bc8114155f8b79b2aac537ff6eda9834de3963bd24618f7,bb51ab7c47e648b7467d7323ae0bb8f67f4d9ed556194cdd56d6c1f9a598a75a,-1,0,1102.266433998011,1051.2860800372437,2199.638355989009,1024,7,300,4,60,cd132ff4292921d736bc3b31abace3b63757607079afe3cbd4add8473ddd10a2
