x_m,y_m,static_radius_m_s2,status
0.08,-0.02,0.9196006530445602,feasible
0.1,-0.02,0.8600723863744263,feasible
0.12,-0.02,0.8058462473497876,feasible
0.14,-0.02,0.7562440550378678,feasible
0.16,-0.02,0.7106985580138819,feasible
0.18,-0.02,0.6687316445824969,feasible
0.2,-0.02,0.6213405987475039,feasible
-0.2,0.0,0.4908673100309251,feasible
-0.18,0.0,0.5410056239969852,feasible
-0.16,0.0,0.5892652004910678,feasible
-0.14,0.0,0.6328520658624438,feasible
-0.12,0.0,0.6806456638852523,feasible
-0.1,0.0,0.7332858851189804,feasible
-0.08,0.0,0.7915493311148319,feasible
-0.06,0.0,0.8563878844594441,feasible
-0.04,0.0,0.9138131437937459,feasible
-0.02,0.0,0.9348453504242551,feasible
0.0,0.0,0.9558775570547515,feasible
0.02,0.0,1.0442386182982528,feasible
0.04,0.0,1.0232064116677495,feasible
0.06,0.0,0.9613218781739701,feasible
0.08,0.0,0.8908786045410791,feasible
0.1,0.0,0.8275787982166263,feasible
0.12,0.0,0.7703882947711861,feasible
0.14,0.0,0.7184633623080916,feasible
0.16,0.0,0.6711087973807548,feasible
0.18,0.0,0.6182079758603007,feasible
0.2,0.0,0.5628908948653764,feasible
-0.2,0.02,0.4336207863197392,feasible
-0.18,0.02,0.48163615317464215,feasible
-0.16,0.02,0.5374398204713989,feasible
-0.14,0.02,0.5920512837240443,feasible
-0.12,0.02,0.6420554828817125,feasible
-0.1,0.02,0.6976186748144502,feasible
-0.08,0.02,0.7597224136304059,feasible
-0.06,0.02,0.82959378957714,feasible
-0.04,0.02,0.9082045553589435,feasible
-0.02,0.02,0.9320410562068491,feasible
0.0,0.02,0.9558775570547537,feasible
0.02,0.02,1.0414343240808526,feasible
0.04,0.02,1.0175978232329488,feasible
0.06,0.02,0.9322116704321899,feasible
0.08,0.02,0.8563005311327526,feasible
0.1,0.02,0.7888284725909623,feasible
0.12,0.02,0.7284623334448959,feasible
0.14,0.02,0.6741357129027647,feasible
0.16,0.02,0.6142738618697519,feasible
0.18,0.02,0.5527062553930259,feasible
0.2,0.02,0.4997313998940511,feasible
-0.2,0.04,0.3715677720392371,feasible
-0.18,0.04,0.4168910719054703,feasible
-0.16,0.04,0.4699271533264671,feasible
-0.14,0.04,0.5328278646296565,feasible
-0.12,0.04,0.5957194593537373,feasible
-0.1,0.04,0.6543519854164587,feasible
-0.08,0.04,0.7206698250233314,feasible
-0.06,0.04,0.7962899936474025,feasible
-0.04,0.04,0.883317355666584,feasible
-0.02,0.04,0.928373902230237,feasible
0.0,0.04,0.9558775570547536,feasible
0.02,0.04,1.0377671701042517,feasible
0.04,0.04,0.9905791643281339,feasible
0.06,0.04,0.8960290554805346,feasible
0.08,0.04,0.8138721911496538,feasible
0.1,0.04,0.7418217600221402,feasible
0.12,0.04,0.678120969918655,feasible
0.14,0.04,0.6091855388955265,feasible
0.16,0.04,0.5397878374859405,feasible
0.18,0.04,0.4812736797580646,feasible
0.2,0.04,0.43126895380425495,feasible
-0.2,0.06,0.3040764025674377,feasible
-0.18,0.06,0.34600565704566333,feasible
-0.16,0.06,0.39543874228170434,feasible
-0.14,0.06,0.4545879972194332,feasible
-0.12,0.06,0.5266302234132124,feasible
-0.1,0.06,0.6007674297521907,feasible
-0.08,0.06,0.6716158065439192,feasible
-0.06,0.06,0.7537761418660183,feasible
-0.04,0.06,0.8501926533875876,feasible
-0.02,0.06,0.8799230151558883,feasible
0.0,0.06,0.8799230151558884,feasible
0.02,0.06,0.8799230151558888,feasible
0.04,0.06,0.8799230151558883,feasible
0.06,0.06,0.8498402566912855,feasible
0.08,0.06,0.7605778860135026,feasible
0.1,0.06,0.6836052927748172,feasible
0.12,0.06,0.6023477457184391,feasible
0.14,0.06,0.5228643058861038,feasible
0.16,0.06,0.4576055473168508,feasible
0.18,0.06,0.4030665378542867,feasible
0.2,0.06,0.35680642692197845,feasible
-0.2,0.08,0.23039898378481638,feasible
-0.18,0.08,0.26806291429713425,feasible
-0.16,0.08,0.31283453676433,feasible
-0.14,0.08,0.36693545011884743,feasible
-0.12,0.08,0.4336207863197408,feasible
-0.1,0.08,0.5178593384521295,feasible
-0.08,0.08,0.6081540544249641,feasible
-0.06,0.08,0.6874326930622205,feasible
-0.04,0.08,0.6874326930622146,feasible
-0.02,0.08,0.6874326930622217,feasible
0.0,0.08,0.6874326930622207,feasible
0.02,0.08,0.6874326930622207,feasible
0.04,0.08,0.6874326930622205,feasible
0.06,0.08,0.6874326930622209,feasible
0.08,0.08,0.6874326930622203,feasible
0.1,0.08,0.5926709194470484,feasible
0.12,0.08,0.49973139989403104,feasible
0.14,0.08,0.4261581611470131,feasible
0.16,0.08,0.36646918540767387,feasible
0.18,0.08,0.31707311939776,feasible
0.2,0.08,0.2755188960916675,feasible
-0.2,0.1,0.14964417587079057,feasible
-0.18,0.1,0.18195369254470117,feasible
-0.16,0.1,0.2207117473505579,feasible
