scene,index,unit,a,c,stop,tol_used,cap,iterations,converged,residual,residual_hat,lam_ref,g_ref,rel_phys_vs_unit0,n_chol,positive_spectrum_ratio
eight_box_tower,1,SI,1.0,1.0,physical,1e-10,30000,48,True,9.963245506394713e-11,1.7265563058991863e-07,0.0005770588235294116,68.00000000000003,0.0,1,19878.442611257917
eight_box_tower,1,Lp3,1000.0,1.0,physical,1e-13,30000,48,True,9.963244693243084e-14,1.7265561649860601e-07,5.770588235294116e-07,68.00000000000003,5.65862936562279e-15,1,19878.442611257917
eight_box_tower,1,Lm3,0.001,1.0,physical,1e-07,30000,48,True,9.96324445168284e-08,1.7265561231254674e-07,0.5770588235294115,68.00000000000003,7.073286707028488e-15,1,19878.442611257917
eight_box_tower,1,Mp3,1.0,1000.0,physical,1e-13,30000,48,True,9.963244693243084e-14,1.7265561649860601e-07,5.770588235294116e-07,68000.00000000003,1.4464871315873256e-13,1,19878.442611257917
eight_box_tower,1,Mm3,1.0,0.001,physical,1e-07,30000,48,True,9.96324445168284e-08,1.7265561231254672e-07,0.5770588235294116,0.06800000000000002,1.1723972716899717e-13,1,19878.442611257917
eight_box_tower,1,SI,1.0,1.0,dimensionless,5.770588235294116e-14,30000,70,True,4.8752668568852187e-14,8.448474675540136e-11,0.0005770588235294116,68.00000000000003,0.0,1,19878.442611257917
eight_box_tower,1,Lp3,1000.0,1.0,dimensionless,5.770588235294116e-17,30000,70,True,4.877554523469163e-17,8.452439031496004e-11,5.770588235294116e-07,68.00000000000003,5.216548679163835e-15,1,19878.442611257917
eight_box_tower,1,Lm3,0.001,1.0,dimensionless,5.7705882352941154e-11,30000,70,True,4.8757442527858075e-11,8.449301967110986e-11,0.5770588235294115,68.00000000000003,1.0609929516943394e-14,1,19878.442611257917
eight_box_tower,1,Mp3,1.0,1000.0,dimensionless,5.770588235294116e-17,30000,70,True,4.8748440180379493e-17,8.447741927282892e-11,5.770588235294116e-07,68000.00000000003,2.0798527588398774e-13,1,19878.442611257917
eight_box_tower,1,Mm3,1.0,0.001,dimensionless,5.7705882352941167e-11,30000,70,True,4.8771653382573277e-11,8.451764602484668e-11,0.5770588235294116,0.06800000000000002,1.6728322205047418e-13,1,19878.442611257917
three_body_column_normal,2,SI,1.0,1.0,absolute,1e-10,30000,42,True,8.037659426918253e-11,1.609139417269034e-10,0.4995004995004996,2.002,0.0,1,6834.758333987907
three_body_column_normal,2,Lp3,1000.0,1.0,absolute,1e-10,30000,32,True,8.228917547370429e-11,1.6474292929835596e-07,0.0004995004995004996,2.002,2.807975079122109e-10,1,6834.758333987907
three_body_column_normal,2,Lm3,0.001,1.0,absolute,1e-10,30000,30000,False,3.4924596548080444e-10,6.991904228925705e-13,499.50049950049953,2.002,2.742126525845372e-13,1,6834.758333987907
three_body_column_normal,2,Mp3,1.0,1000.0,absolute,1e-10,30000,32,True,8.22888424067969e-11,1.647422624984074e-07,0.0004995004995004995,2002.0,2.8084480163670305e-10,1,6834.758333987907
three_body_column_normal,2,Mm3,1.0,0.001,absolute,1e-10,30000,51,True,0.0,0.0,499.5004995004994,0.0020020000000000003,2.8990143619012015e-13,1,6834.758333987907
three_body_column_normal,2,SI,1.0,1.0,physical,1e-10,30000,42,True,8.037659426918253e-11,1.609139417269034e-10,0.4995004995004996,2.002,0.0,1,6834.758333987907
three_body_column_normal,2,Lp3,1000.0,1.0,physical,1e-13,30000,42,True,8.038014698286133e-14,1.6092105425968836e-10,0.0004995004995004996,2.002,1.1368683772161574e-16,1,6834.758333987907
three_body_column_normal,2,Lm3,0.001,1.0,physical,1e-07,30000,42,True,8.044298738241196e-08,1.6104686073958872e-10,499.50049950049953,2.002,1.1368683772161574e-16,1,6834.758333987907
three_body_column_normal,2,Mp3,1.0,1000.0,physical,1e-13,30000,42,True,8.038014698286133e-14,1.609210542596884e-10,0.0004995004995004995,2002.0,4.7634785005356995e-14,1,6834.758333987907
three_body_column_normal,2,Mm3,1.0,0.001,physical,1e-07,30000,42,True,8.032657206058502e-08,1.6081379726529125e-10,499.5004995004994,0.0020020000000000003,1.602984411874782e-14,1,6834.758333987907
three_body_column_normal,2,SI,1.0,1.0,dimensionless,4.995004995004996e-11,30000,43,True,4.035882739117369e-11,8.079837243712972e-11,0.4995004995004996,2.002,0.0,1,6834.758333987907
three_body_column_normal,2,Lp3,1000.0,1.0,dimensionless,4.995004995004996e-14,30000,43,True,4.063416270128073e-14,8.134959372796401e-11,0.0004995004995004996,2.002,1.1368683772160472e-16,1,6834.758333987907
three_body_column_normal,2,Lm3,0.001,1.0,dimensionless,4.9950049950049954e-08,30000,43,True,4.0512531995773315e-08,8.110608905553818e-11,499.50049950049953,2.002,2.2737367544320943e-16,1,6834.758333987907
three_body_column_normal,2,Mp3,1.0,1000.0,dimensionless,4.9950049950049954e-14,30000,43,True,3.9968028886505635e-14,8.001599383078428e-11,0.0004995004995004995,2002.0,4.786215868079558e-14,1,6834.758333987907
three_body_column_normal,2,Mm3,1.0,0.001,dimensionless,4.995004995004994e-08,30000,43,True,3.993045538663864e-08,7.994077168405058e-11,499.5004995004994,0.0020020000000000003,1.6257217794189472e-14,1,6834.758333987907
